County Name,State Name,Confirmed,New,Death,Fatality Rate,Latitude,Longitude,Last Update,STATEFP,COUNTYFP,Population Estimate 2018 (Ths.),Infection Rate
Cumberland,Illinois,1,0,0,0%,39.27332831,-88.24016822,2020-03-19 23:11 EDT,17,035,0.12,8.333333333333334
Champaign,Illinois,1,0,0,0%,40.1142,-88.2435,2020-03-19 23:11 EDT,17,019,16.4,0.06097560975609757
Winnebago,Illinois,1,0,0,0%,42.265679999999996,-89.24139,2020-03-19 23:11 EDT,17,201,4.74,0.21097046413502107
Whiteside,Illinois,1,0,0,0%,41.75533495,-89.91231676,2020-03-19 23:11 EDT,17,195,1.01,0.9900990099009901
Madison,Illinois,1,0,0,0%,38.83006224,-89.9017802,2020-03-19 23:11 EDT,17,119,3.95,0.2531645569620253
Kendall,Illinois,1,0,0,0%,41.59058793,-88.42880574,2020-03-19 23:11 EDT,17,093,0.21,4.761904761904762
Jackson,Illinois,1,0,0,0%,37.78549498,-89.38103883,2020-03-19 23:11 EDT,17,077,3.59,0.2785515320334262
Williamson,Illinois,1,0,0,0%,37.73016812,-88.92990905,2020-03-19 23:11 EDT,17,199,2,0.5
Kankakee,Illinois,1,1,0,0%,41.137714175000035,-87.86181763199993,2020-03-19 23:11 EDT,17,091,6.27,0.1594896331738437
LaSalle,Illinois,1,1,0,0%,41.344007436000034,-88.88594642199995,2020-03-19 23:11 EDT,17,099,3.39,0.2949852507374631
Washington,Illinois,1,1,0,0%,38.352253931000064,-89.41049152099998,2020-03-19 23:11 EDT,17,189,0.25,4.0
Orleans,Louisiana,249,53,8,3.2%,30.03843182,-89.90055149,2020-03-19 23:11 EDT,22,071,13.45,18.513011152416357
Jefferson,Louisiana,69,24,1,1.4%,29.9596,-90.17182,2020-03-19 23:11 EDT,22,051,3.31,20.845921450151057
Caddo,Louisiana,10,4,0,0%,32.75632,-93.97374,2020-03-19 23:11 EDT,22,017,6.25,1.6
St. Tammany,Louisiana,10,0,0,0%,30.39408,-89.89506999999998,2020-03-19 23:11 EDT,22,103,1.28,7.8125
East Baton Rouge,Louisiana,6,3,0,0%,30.53926541,-91.09217012,2020-03-19 23:11 EDT,22,033,11.11,0.54005400540054
Lafourche,Louisiana,4,1,0,0%,29.765290000000004,-90.76881,2020-03-19 23:11 EDT,22,057,1.63,2.4539877300613497
St. Charles,Louisiana,4,1,0,0%,29.905279800000002,-90.3824403,2020-03-19 23:11 EDT,22,089,0.59,6.779661016949153
Terrebonne,Louisiana,4,1,0,0%,29.43006669,-90.87546183,2020-03-19 23:11 EDT,22,109,1.48,2.7027027027027026
Bossier,Louisiana,4,3,0,0%,32.67886191,-93.60531071,2020-03-19 23:11 EDT,22,015,2.55,1.5686274509803924
St. Bernard,Louisiana,4,1,0,0%,29.86715,-89.85868,2020-03-19 23:11 EDT,22,087,0.29,13.793103448275863
St. John the Baptist,Louisiana,3,2,0,0%,30.07866499,-90.54541322,2020-03-19 23:11 EDT,22,095,0.47,6.382978723404256
Lafayette,Louisiana,3,3,0,0%,30.206788222000057,-92.06389372499996,2020-03-19 23:11 EDT,22,055,5.16,0.5813953488372093
Ascension,Louisiana,2,1,0,0%,30.20549338,-90.90885829999999,2020-03-19 23:11 EDT,22,005,0.79,2.531645569620253
Washington,Louisiana,2,1,0,0%,30.85339216,-90.04050446,2020-03-19 23:11 EDT,22,117,1.58,1.2658227848101264
West Baton Rouge,Louisiana,2,2,0,0%,30.450190000000077,-91.20510999999999,2020-03-19 23:11 EDT,22,121,0.56,3.571428571428571
St. Landry,Louisiana,2,2,0,0%,30.84436000000005,-92.25789999999996,2020-03-19 23:11 EDT,22,097,1.11,1.8018018018018016
St. James,Louisiana,1,0,1,100%,30.418250000000054,-91.09344,2020-03-19 23:11 EDT,22,093,0.2,5.0
Plaquemines,Louisiana,1,1,0,0%,29.483275079000066,-89.65255639899998,2020-03-19 23:11 EDT,22,075,0.27,3.7037037037037033
Acadia,Louisiana,1,1,0,0%,30.29050870500004,-92.41197696399996,2020-03-19 23:11 EDT,22,001,1.05,0.9523809523809523
Assumption,Louisiana,1,1,0,0%,29.90081580200007,-91.06259176899994,2020-03-19 23:11 EDT,22,007,0.2,5.0
Calcasieu,Louisiana,1,1,0,0%,30.22969920200007,-93.357998921,2020-03-19 23:11 EDT,22,019,3.79,0.2638522427440633
