County Name,State Name,Confirmed,New,Death,Fatality Rate,Last Update,STATEFP,COUNTYFP,Population Estimate 2018 (Ths.),Infection Rate
Howard,Indiana,1,0,0,0%,2020-03-14 12:04 EDT,18,067,1.28,0.78125
St. Joseph,Indiana,1,0,0,0%,2020-03-14 12:04 EDT,18,141,11.34,0.08818342151675485
Hancock,Indiana,1,0,0,0%,2020-03-14 12:04 EDT,18,059,0.65,1.5384615384615383
Wells,Indiana,1,1,0,0%,2020-03-14 12:04 EDT,18,179,0.47,2.127659574468085
LaPorte,Indiana,1,1,0,0%,2020-03-14 12:04 EDT,18,091,6.35,0.15748031496062992
Providence,Rhode Island,3,0,0,0%,2020-03-14 12:04 EDT,44,007,26.39,0.1136794240242516
Ramsey,Minnesota,3,0,0,0%,2020-03-14 12:04 EDT,27,123,17.44,0.1720183486238532
Carver,Minnesota,1,0,0,0%,2020-03-14 12:04 EDT,27,019,0.88,1.1363636363636365
Anoka,Minnesota,1,0,0,0%,2020-03-14 12:04 EDT,27,003,2.96,0.33783783783783783
Olmsted,Minnesota,1,0,0,0%,2020-03-14 12:04 EDT,27,109,2.37,0.42194092827004215
Dakota,Minnesota,1,0,0,0%,2020-03-14 12:04 EDT,27,037,2.82,0.3546099290780142
Stearns,Minnesota,1,0,0,0%,2020-03-14 12:04 EDT,27,145,7.29,0.13717421124828533
Hennepin,Minnesota,1,0,0,0%,2020-03-14 12:04 EDT,27,053,25.92,0.038580246913580245
Wright,Minnesota,1,0,0,0%,2020-03-14 12:04 EDT,27,171,1.11,0.9009009009009008
Harrison,Kentucky,5,0,0,0%,2020-03-14 12:04 EDT,21,097,0.28,17.857142857142854
Fayette,Kentucky,3,0,0,0%,2020-03-14 12:04 EDT,21,067,13.13,0.22848438690022846
Jefferson,Kentucky,2,0,0,0%,2020-03-14 12:04 EDT,21,111,16.63,0.12026458208057728
Montgomery,Kentucky,2,0,0,0%,2020-03-14 12:04 EDT,21,173,0.36,5.555555555555555
Douglas,Nebraska,12,0,0,0%,2020-03-14 12:04 EDT,31,055,12.6,0.9523809523809524
Knox,Nebraska,1,0,0,0%,2020-03-14 12:04 EDT,31,107,0.22,4.545454545454546
Cass,Nebraska,1,0,0,0%,2020-03-14 12:04 EDT,31,025,0.27,3.7037037037037033
Cuyahoga,Ohio,6,0,0,0%,2020-03-14 12:04 EDT,39,035,29.96,0.20026702269692923
Stark,Ohio,2,0,0,0%,2020-03-14 12:04 EDT,39,151,8.84,0.22624434389140272
Belmont,Ohio,2,0,0,0%,2020-03-14 12:04 EDT,39,013,3.83,0.5221932114882506
Trumbull,Ohio,1,0,0,0%,2020-03-14 12:04 EDT,39,155,3.14,0.3184713375796178
Summit,Ohio,1,0,0,0%,2020-03-14 12:04 EDT,39,153,10.35,0.0966183574879227
Franklin,Ohio,1,1,0,0%,2020-03-14 12:04 EDT,39,049,30.78,0.03248862897985705
Kershaw,South Carolina,5,0,0,0%,2020-03-14 12:04 EDT,45,055,0.4,12.5
Charleston,South Carolina,1,0,0,0%,2020-03-14 12:04 EDT,45,019,10.86,0.09208103130755065
Spartanburg,South Carolina,1,0,0,0%,2020-03-14 12:04 EDT,45,083,8.27,0.12091898428053205
Lancaster,South Carolina,1,0,0,0%,2020-03-14 12:04 EDT,45,057,1.98,0.5050505050505051
Lancaster,South Carolina,1,0,0,0%,2020-03-14 12:04 EDT,45,057,1.98,0.5050505050505051
Fairfield,Connecticut,8,0,0,0%,2020-03-14 12:04 EDT,09,001,19.6,0.4081632653061224
Litchfield,Connecticut,3,0,0,0%,2020-03-14 12:04 EDT,09,005,2.47,1.214574898785425
